stature_cm,weight_kg,chest_circumference,buttock_circumference,waist_circumference,thigh_circumference,ankle_circumference,biacromial_breadth,knee_height_sitting
159.6,60.0,91.9,95.1,70.8,57.9,21.9,37.1,48.8
149.2,47.6,86.1,91.1,66.2,54.2,18.7,33.8,45.4
169.5,81.7,102.2,108.5,93.4,65.5,22.3,36.4,55.1
166.7,57.8,85.5,97.0,65.1,57.5,19.9,35.3,51.1
158.0,55.4,85.4,93.4,68.7,54.6,20.9,36.4,49.6
162.4,59.8,90.5,93.9,76.5,53.9,20.8,37.4,52.6
156.2,56.4,89.4,95.9,72.9,58.7,20.1,34.7,49.8
153.4,57.3,88.8,93.4,71.3,56.5,21.0,33.0,49.5
162.7,51.7,84.2,86.2,66.4,50.8,20.8,36.8,51.2
154.2,60.3,90.7,99.9,74.9,59.3,21.8,37.8,50.6
158.2,64.7,95.8,96.6,83.6,56.8,20.8,37.3,47.6
151.4,50.3,91.4,87.4,73.2,52.4,18.2,32.8,48.7
160.8,59.4,88.5,95.8,70.2,58.8,21.0,35.9,51.1
166.7,66.1,90.0,99.3,73.8,60.7,21.9,36.7,54.1
160.1,59.2,86.8,93.1,74.7,58.1,19.1,38.2,52.4
153.4,51.6,88.3,91.9,67.5,52.5,19.9,35.8,46.5
163.6,54.9,84.9,91.0,65.5,54.1,19.9,36.5,50.1
158.5,45.5,79.7,84.7,62.5,47.7,19.4,35.5,48.1
155.7,57.7,81.4,89.0,67.8,58.4,20.5,33.3,49.9
166.3,70.8,94.7,100.0,79.7,60.7,21.0,39.1,52.4
157.8,61.0,98.2,93.8,75.3,56.5,20.6,35.2,48.6
167.5,59.4,88.8,93.7,68.5,53.5,21.9,35.8,53.0
163.7,50.0,87.1,87.5,65.8,48.7,18.9,36.7,51.2
156.8,47.7,84.1,87.0,65.8,51.3,18.6,34.7,48.0
155.1,60.5,93.4,98.5,70.0,61.2,19.8,35.7,49.2
148.5,48.3,85.5,84.4,62.2,51.9,18.7,35.0,47.0
165.2,59.8,91.5,93.9,70.8,56.8,20.7,35.8,51.8
169.5,75.4,97.8,102.2,81.7,60.5,21.2,37.6,53.8
153.3,50.6,83.9,89.9,64.9,52.5,20.1,36.8,48.4
154.7,47.2,79.5,86.7,61.1,52.8,18.3,32.9,48.6
155.5,55.6,85.3,89.2,71.2,55.4,20.5,34.1,49.1
178.7,77.7,101.4,102.5,79.4,61.3,23.0,38.6,55.6
156.0,55.9,87.6,87.5,70.9,56.1,20.8,36.7,51.6
163.1,61.0,95.5,95.1,71.8,55.4,21.5,36.7,49.0
161.0,67.8,96.2,101.5,77.1,65.0,22.3,35.4,53.1
159.7,69.5,98.6,99.8,82.3,63.3,21.5,36.3,49.2
165.2,63.1,91.4,97.4,70.9,59.7,20.0,37.8,53.0
160.6,61.3,97.5,94.4,76.0,56.3,21.3,35.7,50.7
151.8,51.3,87.0,90.7,70.0,53.8,20.7,34.3,48.4
158.9,70.3,93.4,105.4,83.0,67.5,20.0,35.7,51.5
150.1,59.1,92.2,95.7,77.3,60.9,20.4,35.5,45.9
157.9,64.9,93.4,105.8,78.8,62.9,20.5,32.2,51.6
160.2,60.3,92.2,99.0,74.0,58.2,22.0,36.0,50.3
159.2,58.6,86.2,91.7,72.9,56.1,19.8,37.3,50.3
178.5,66.6,88.5,101.6,70.7,59.7,21.3,37.8,57.3
161.6,54.6,90.5,91.1,70.1,53.9,19.3,35.2,50.1
155.0,52.5,89.3,93.4,70.5,55.9,19.6,32.2,46.1
156.0,65.0,96.2,96.7,78.4,59.9,20.8,36.9,50.0
161.1,56.6,91.3,91.9,68.4,55.0,19.6,34.8,51.8
162.0,52.9,82.6,87.7,63.5,52.9,20.2,36.3,49.9
162.4,57.8,81.8,92.8,70.8,58.6,19.9,36.8,52.6
162.3,55.4,87.3,92.2,66.4,56.5,21.7,36.4,50.5
157.5,55.9,97.4,92.3,75.6,53.7,19.6,34.8,50.8
170.4,60.6,87.3,93.3,67.6,55.5,20.4,34.2,53.4
173.0,67.0,93.5,96.7,78.8,57.9,19.8,38.2,56.3
155.9,52.0,82.4,88.8,68.5,52.6,19.9,35.7,51.5
169.3,63.4,87.4,95.3,71.6,57.6,20.6,38.0,54.8
157.7,53.2,92.1,90.4,72.0,52.0,19.2,35.0,47.3
168.4,65.5,93.8,102.8,72.5,60.9,21.4,38.2,53.2
173.8,70.0,95.8,103.6,76.8,60.4,22.0,38.0,54.4
181.9,74.1,96.6,106.4,79.9,58.0,19.8,41.2,59.4
165.7,67.0,95.7,100.1,72.1,60.9,20.5,36.7,51.8
163.4,57.6,83.3,96.5,66.7,57.3,21.5,35.7,52.3
169.5,64.4,94.4,98.2,72.7,58.5,20.2,37.0,55.6
157.7,68.5,98.4,103.7,80.7,61.4,21.1,35.5,49.3
167.6,58.2,92.7,95.3,69.0,53.7,20.5,36.9,52.2
164.7,57.4,89.9,92.6,67.2,55.4,21.2,34.8,53.6
161.0,67.7,97.9,98.3,76.3,62.3,21.9,35.1,52.2
172.6,67.3,91.2,99.8,71.4,60.1,22.3,38.1,55.4
164.0,61.5,88.2,98.5,70.7,58.7,21.0,38.8,51.7
155.8,51.8,86.2,89.5,70.5,54.0,18.6,36.3,47.5
159.1,67.6,104.0,101.9,87.7,61.9,20.4,36.5,49.7
168.7,70.0,100.5,102.4,82.8,62.6,20.2,38.6,54.6
160.8,58.7,82.6,95.3,71.3,55.7,21.3,35.9,51.1
161.7,69.5,99.1,99.7,80.8,58.7,22.8,36.0,49.8
161.4,63.0,97.1,96.9,74.6,60.0,20.2,38.1,52.6
169.1,61.1,89.5,94.4,70.3,57.3,20.2,36.4,52.2
166.5,63.6,98.0,98.5,73.8,58.5,21.5,35.4,52.4
180.5,87.1,104.7,108.1,81.5,65.6,22.0,40.9,58.4
167.6,61.4,86.2,94.1,69.2,56.3,20.9,37.3,51.7
178.1,61.7,82.4,95.7,67.1,55.9,21.0,38.4,54.4
150.7,49.4,82.7,90.5,64.8,54.8,19.0,38.6,48.5
164.4,66.8,90.9,103.0,75.0,61.1,20.5,35.8,50.9
162.0,60.8,87.8,97.8,69.2,60.6,19.8,34.7,51.9
169.3,62.5,90.5,94.0,71.3,59.5,21.1,35.5,54.0
155.8,45.7,82.6,84.8,63.3,49.0,18.0,34.2,49.4
178.3,72.4,97.1,99.4,73.8,59.0,22.0,38.1,56.3
160.9,55.1,83.8,90.1,66.6,53.9,20.0,35.2,49.8
164.9,59.0,88.3,91.6,67.8,54.6,21.1,36.6,50.6
162.8,52.8,80.0,88.7,65.7,54.7,19.9,39.1,51.1
159.7,58.7,97.8,95.4,77.5,56.1,19.8,36.7,50.4
164.0,59.0,88.2,94.2,73.7,54.9,19.9,37.6,49.8
166.0,57.5,86.4,93.4,71.0,54.9,19.9,37.0,51.9
159.7,69.9,99.7,102.9,81.1,61.6,20.7,35.2,51.4
156.9,47.7,86.7,87.7,67.1,52.1,18.2,32.3,48.0
166.7,55.5,87.8,90.0,68.6,56.1,19.2,37.5,52.6
156.4,51.9,83.8,92.4,64.7,55.7,19.2,34.4,47.0
153.5,49.4,84.6,87.3,65.4,51.1,19.3,34.2,47.0
163.0,54.1,86.7,89.9,65.5,53.4,19.8,36.8,50.3
165.0,61.6,93.7,96.9,73.3,55.4,19.9,39.0,50.6
157.8,71.0,104.0,102.1,80.0,62.9,23.1,38.9,50.4
162.0,55.9,91.9,95.7,70.8,54.3,20.0,36.5,48.7
172.0,62.7,91.5,96.3,73.6,55.1,20.9,39.6,53.7
165.1,53.5,82.1,94.2,65.5,52.6,20.1,35.0,51.0
152.1,50.2,86.1,90.3,70.5,52.7,19.5,35.8,47.7
163.9,62.4,90.9,99.5,68.8,61.6,19.9,34.8,50.9
166.0,72.4,94.0,108.2,81.2,67.0,20.7,36.5,52.3
156.7,53.8,87.3,91.4,67.0,53.7,19.9,35.7,47.4
158.4,61.5,91.2,95.3,73.8,61.2,19.7,36.7,51.7
153.8,60.7,90.2,99.7,74.9,62.3,18.9,36.6,51.0
162.8,62.7,93.8,95.3,72.5,56.0,21.3,36.7,51.0
157.2,59.5,89.9,94.3,73.2,58.6,21.1,36.3,50.0
156.0,49.7,83.3,89.3,63.5,53.7,17.9,35.4,47.2
172.2,80.1,99.2,109.2,84.4,65.3,21.4,38.7,56.2
162.4,72.7,98.3,107.1,81.8,63.5,22.5,37.8,50.2
169.5,65.5,96.7,95.8,75.5,57.2,20.5,38.8,53.6
159.0,56.3,87.8,92.9,71.4,57.1,20.2,36.4,50.4
163.3,67.0,94.7,97.8,75.2,58.3,20.0,35.3,50.2
160.5,66.0,95.4,100.5,76.3,62.8,21.8,36.0,50.4
162.4,62.8,94.5,96.8,74.0,59.7,20.5,33.3,49.7
157.8,59.2,93.1,95.6,72.6,59.1,21.2,34.5,48.7
170.8,63.1,89.4,94.7,71.0,58.1,20.5,38.3,55.0
157.9,53.3,85.3,92.0,64.8,53.8,20.7,37.1,51.3
146.9,57.8,96.3,91.8,82.6,54.6,21.1,36.2,46.2
154.4,63.5,96.2,101.1,75.0,60.3,22.2,36.5,47.9
170.7,59.5,87.3,89.8,67.4,54.3,20.5,37.9,53.7
159.1,74.0,100.8,106.7,75.4,66.8,22.2,36.0,50.2
171.5,58.0,88.4,93.7,63.9,55.5,20.5,35.8,56.4
175.5,73.4,93.2,107.3,77.3,63.4,20.7,37.9,56.3
163.7,51.9,81.7,93.2,60.9,53.4,21.0,35.2,51.5
162.0,57.4,89.8,88.8,67.4,53.7,19.8,36.1,51.4
166.4,70.6,98.1,102.2,82.4,58.8,20.4,39.2,51.7
159.5,60.8,93.1,93.5,69.9,59.1,20.7,35.5,49.9
170.2,76.6,95.8,104.4,79.9,65.5,22.2,36.9,56.7
159.3,65.4,92.1,98.4,74.3,62.9,21.1,32.7,51.0
169.1,65.6,90.9,102.5,72.6,60.2,20.5,38.2,53.4
163.5,83.1,108.0,117.0,90.2,70.3,21.2,35.6,52.2
167.7,70.6,87.0,102.3,73.7,62.2,22.0,38.0,53.2
161.8,62.0,90.4,104.8,77.0,62.1,20.8,34.5,51.6
159.5,60.7,96.8,95.6,74.6,57.3,20.5,37.2,49.4
163.5,60.5,83.5,94.8,69.6,59.1,20.6,36.7,52.0
159.6,74.5,102.9,102.3,83.9,67.2,20.8,37.3,51.6
169.4,83.5,106.8,109.0,88.4,68.9,22.4,35.0,53.5
168.0,74.1,98.5,106.7,79.3,65.8,20.7,36.6,54.0
158.7,70.1,104.5,102.6,82.3,62.4,20.8,36.7,49.9
174.1,70.1,92.0,100.5,72.5,65.0,20.2,37.8,55.1
165.7,66.6,89.4,102.1,71.0,60.7,23.0,38.6,50.5
156.0,66.7,98.9,99.8,78.0,60.8,20.5,35.4,50.0
159.1,58.3,90.5,98.5,73.4,57.8,20.0,34.5,51.0
160.1,70.0,95.7,103.4,76.1,62.5,21.5,37.3,46.4
163.5,72.2,104.8,99.8,83.4,61.3,21.4,36.3,50.6
167.1,53.0,84.9,87.5,67.9,48.4,20.3,38.2,51.9
156.6,59.5,92.8,90.5,72.3,54.8,19.9,33.7,51.2
170.3,51.1,75.2,87.7,65.4,48.0,20.1,33.6,52.8
156.2,64.3,90.4,99.4,74.4,61.0,22.1,35.0,48.7
163.2,71.6,103.2,98.5,82.3,60.0,22.4,38.2,51.7
160.0,68.7,99.3,105.2,78.5,63.6,21.3,37.1,52.5
160.3,63.2,95.7,92.7,75.1,56.8,21.5,36.7,49.9
165.2,61.0,91.8,93.0,72.2,56.0,18.9,34.5,50.4
172.8,59.5,89.0,94.5,67.6,55.5,20.9,38.1,55.5
163.1,78.8,108.8,104.0,90.2,66.7,21.5,37.7,51.7
160.6,52.5,87.0,88.4,71.2,52.3,19.3,34.8,48.4
174.1,70.8,92.3,97.2,73.8,60.2,21.5,39.9,58.5
166.5,59.8,87.7,99.1,67.0,58.7,21.5,38.0,51.4
157.8,56.0,88.4,95.3,67.9,57.5,20.9,35.7,51.2
168.8,73.8,99.3,106.1,76.4,65.7,22.2,38.4,54.3
168.4,61.3,92.6,94.4,68.9,59.6,20.3,35.0,56.1
164.0,64.8,91.2,99.8,73.8,62.5,19.0,37.6,50.5
160.2,64.4,93.8,98.9,76.8,60.3,20.9,35.7,51.9
155.2,62.2,95.8,101.0,76.3,59.2,21.4,36.0,49.2
149.3,46.5,87.5,87.7,65.7,51.7,18.7,35.2,48.0
159.7,66.4,101.3,101.7,70.6,64.2,20.9,37.4,51.0
158.0,55.0,84.5,96.2,65.4,55.5,23.0,36.6,49.1
176.4,83.2,100.1,112.2,79.2,71.5,22.0,37.2,58.8
159.8,67.6,104.9,99.4,80.4,58.6,21.1,33.9,50.4
171.1,66.7,97.4,95.8,72.7,59.8,20.5,38.6,54.4
164.7,56.6,85.3,92.3,65.1,55.9,19.7,34.5,53.9
154.1,58.7,94.8,93.4,78.9,57.9,19.9,35.3,47.9
154.7,65.7,99.2,100.1,76.1,62.3,23.2,36.7,48.9
171.9,72.1,95.9,103.5,76.4,60.6,21.8,38.6,54.0
154.4,58.5,86.6,97.6,71.1,58.1,21.4,34.1,47.6
157.4,48.7,87.4,83.7,64.7,50.1,20.0,37.5,50.9
165.4,86.9,117.6,111.4,98.7,70.1,21.8,34.2,53.6
157.5,66.4,89.5,102.5,74.2,64.9,19.5,35.5,48.2
156.6,50.8,89.3,91.3,66.8,53.5,19.4,35.1,47.0
152.1,50.2,82.5,86.3,67.6,52.8,19.2,32.3,49.7
172.2,65.9,90.8,94.9,72.9,58.0,20.5,39.8,54.0
165.8,73.2,93.7,103.2,76.5,63.0,22.5,38.1,54.6
148.7,63.5,95.5,98.8,75.8,65.7,19.6,34.0,45.1
157.6,54.6,87.2,90.0,69.3,54.7,20.5,35.5,50.7
174.6,67.0,92.6,99.7,69.0,61.0,21.3,40.0,55.7
158.8,71.9,100.3,105.6,87.4,63.2,21.7,34.8,48.9
164.7,69.5,104.5,97.7,82.0,61.4,21.2,39.0,52.8
157.8,53.1,87.0,90.5,65.7,55.8,19.0,36.1,51.0
169.0,58.7,92.7,91.3,67.4,54.8,21.7,36.4,54.1
165.8,70.4,101.1,102.1,83.5,61.6,21.4,35.5,51.4
153.0,55.2,88.9,91.0,74.3,55.6,21.4,35.0,51.3
157.5,62.8,95.3,98.2,83.4,57.5,21.5,36.5,48.7
171.4,85.5,103.5,109.9,83.7,67.9,22.8,36.5,53.6
162.5,60.2,91.2,95.4,71.0,58.3,22.3,37.3,50.6
159.9,59.7,88.4,96.4,72.9,56.8,21.7,37.5,49.6
169.7,58.3,82.9,93.6,66.5,57.1,21.0,38.3,52.5
177.2,75.6,97.0,101.8,81.2,62.8,23.6,37.0,55.7
156.3,60.5,91.6,100.7,70.1,59.6,19.7,35.5,49.2
145.4,51.5,94.4,88.3,67.8,52.9,18.8,34.4,45.1
167.1,63.5,92.9,96.1,75.5,56.5,21.2,36.7,53.7
170.2,59.8,83.3,95.3,64.3,54.4,20.2,36.6,53.4
167.5,65.6,96.7,98.1,74.7,57.5,21.6,37.9,52.1
166.1,61.9,91.0,95.6,68.2,58.3,21.0,35.6,52.8
157.8,54.5,86.6,90.4,63.9,54.7,21.1,35.7,48.7
168.3,69.7,89.6,106.5,74.8,62.3,20.9,38.0,53.3
160.8,66.8,95.4,97.3,73.3,61.7,21.2,37.5,50.7
162.5,64.1,96.4,99.3,78.1,56.6,23.3,38.2,50.6
